S.No,startup_name,industry,city,state,funding_requested,valuation_requested,received_offer,accepted_offer,funding_received,investors
415,TheShellHair,Beauty/Fashion,Ajmer,Rajasthan,30,1000,1,1,30,
416,Rize,Food and Beverage,Gurgaon,Haryana,45,750,0,,,
417,MEPACK,Business Services,Delhi,Delhi,7,70,1,1,7,
418,BaccaBucci,Beauty/Fashion,Delhi,Delhi,250,25000,0,,,
419,Vobble,Children/Education,Bangalore,Karnataka,25,1666.666667,1,1,25,
420,BeUNatural,Beauty/Fashion,Delhi,Delhi,60,2400,0,,,
421,Erotissch,Beauty/Fashion,Agra,Uttar Pradesh,75,2500,0,,,
422,Niblerzz,Food and Beverage,Mumbai,Maharashtra,50,1666.666667,1,1,10,
423,Sorich,Food and Beverage,Delhi,Delhi,90,3600,0,,,
424,LittleBox,Beauty/Fashion,Guwahati,Assam,75,7500,1,1,75,
425,CremeCastle,Food and Beverage,Noida,Uttar Pradesh,60,4000,1,1,60,
426,Namakwali,Food and Beverage,,Uttarakhand,50,1000,1,1,10,
427,KariboCosmetics,Beauty/Fashion,Mumbai,Maharashtra,80,1600,0,,,
428,Deeva,Beauty/Fashion,Bangana,Himachal Pradesh,200,5000,1,1,75,Radhika Gupta
429,DesignTemplate,Technology/Software,Bid,Maharashtra,100,4000,1,1,100,
430,Sama,Business Services,Delhi,"Delhi,Bihar,Kerala",100,10000,1,1,100,
431,GoldenFeathers,Manufacturing,Jaipur,Rajasthan,500,10000,0,,,
